"individual","trait","trait_id","population"
642,1.3101850771468,1,13
643,-0.196754759810164,1,13
644,0.146664777468942,1,13
645,-0.00997708340003292,1,13
646,0.20582198471746,1,13
647,-0.0163583723486972,1,13
648,0.0539104884979123,1,13
649,0.14487316000257,1,13
650,-0.486368774467763,1,13
651,-0.104549121426639,1,14
652,0.195655020574029,1,14
653,0.57112240074286,1,14
654,0.595756745702775,1,14
655,0.452939146441992,1,14
656,0.26915723162763,1,14
657,0.75957890107769,1,14
658,0.951257728564989,1,14
659,0.0916140996792836,1,14
660,0.0271199186277387,1,14
661,-0.10177895588027,1,14
662,-0.284019792255017,1,14
663,0.603233160540521,1,14
664,1.04622224908768,1,14
665,0.174620533010945,1,14
666,0.20711061892131,1,14
667,0.0201097403620134,1,14
668,0.583044940995619,1,14
669,-0.139296361412504,1,14
670,0.109896606122028,1,14
671,1.13292378026435,1,14
672,0.37427163612954,1,14
673,0.271208760928977,1,14
674,0.623669625296899,1,14
675,0.411185408685637,1,14
676,0.474371598093573,1,14
677,1.00667230748411,1,14
678,0.216605118610853,1,14
679,0.349051654959031,1,14
680,-0.29244974348911,1,14
681,0.000846002386204683,1,14
682,0.426864511583499,1,14
683,0.848741583875266,1,14
684,0.372762391021564,1,14
685,-0.296041165964797,1,14
686,0.792097124497289,1,14
687,0.764025372540271,1,14
688,0.406437182657377,1,14
689,1.04498615175128,1,14
690,0.661117846005232,1,14
691,0.428859511917512,1,14
692,-0.770520780724115,1,14
693,0.476925201028498,1,14
694,0.587390981987735,1,14
695,0.322051011412366,1,14
696,-0.550552827909243,1,14
697,0.26783364948251,1,14
698,0.181066964459266,1,14
699,-0.20642506239041,1,14
700,0.197737394430035,1,14
701,1.11680558322847,1,15
702,1.00555011542498,1,15
703,0.645003190596868,1,15
704,1.55744810644082,1,15
705,1.06622367668886,1,15
706,0.907363800980204,1,15
707,0.60765209221563,1,15
708,1.2362912503061,1,15
709,0.698432059978095,1,15
710,-0.071468276440351,1,15
711,0.653101989229046,1,15
712,0.825799549177882,1,15
713,0.821954305314609,1,15
714,0.973504336020045,1,15
715,0.469456884274962,1,15
716,0.139697675725845,1,15
717,1.10786795075111,1,15
718,0.82677140989365,1,15
719,-0.0733260890815176,1,15
720,0.311703328107888,1,15
721,0.337901712876216,1,15
722,0.821697544626557,1,15
723,0.169953028155849,1,15
724,1.31466992419413,1,15
725,0.673045889414453,1,15
726,0.324439453360189,1,15
727,0.507955209845796,1,15
728,0.671341307825539,1,15
729,-0.574652241976361,1,15
730,0.693962899409252,1,15
731,0.598711358077111,1,15
732,1.15121284439864,1,15
733,0.90600690994205,1,15
734,1.03726297555961,1,15
735,0.544714481826801,1,15
736,0.785160337203173,1,15
737,0.0155443465407705,1,15
738,1.22957564569527,1,15
739,0.053718592815441,1,15
740,0.963340916657021,1,15
741,0.616440342492942,1,15
742,0.766998843950088,1,15
743,1.82979770905704,1,15
744,1.33113838554062,1,15
745,0.363426597611068,1,15
746,0.97899653212248,1,15
747,0.795918888503181,1,15
748,1.12590832878519,1,15
749,0.204744352929059,1,15
750,0.986382010752499,1,15
751,1.11079364962675,1,16
752,0.940487926108907,1,16
753,1.09176437324892,1,16
754,0.959534953497644,1,16
755,0.890732948566853,1,16
756,0.628315337682851,1,16
757,0.174120564537839,1,16
758,0.703338742441584,1,16
759,1.01188053279454,1,16
760,1.08499703162103,1,16
761,1.11797661838416,1,16
762,1.49251494363889,1,16
763,1.29833783474069,1,16
764,0.592279857168981,1,16
765,0.323735756389893,1,16
766,0.869537763374198,1,16
767,1.27591060180092,1,16
768,0.98272403652459,1,16
769,0.840115140251235,1,16
770,0.0499282843532001,1,16
771,0.636395540595986,1,16
772,1.00456018986441,1,16
773,0.882140861605761,1,16
774,1.04262570445052,1,16
775,0.706853622615719,1,16
776,1.11704539120066,1,16
777,0.298520251744811,1,16
778,0.979769290846765,1,16
779,0.764981087735165,1,16
780,1.1719575636851,1,16
781,0.459849714501141,1,16
782,-0.159556955344994,1,16
783,0.536721873094771,1,16
784,1.03050354064664,1,16
785,1.34707956105283,1,16
786,0.992686220077428,1,16
787,1.34209683930371,1,16
788,0.89273887915516,1,16
789,-0.0371572670312698,1,16
790,0.621877629029851,1,16
791,0.977420150469039,1,16
792,1.89962723849651,1,16
793,1.30392303313342,1,16
794,0.059988198236283,1,16
795,0.838427864378318,1,16
796,1.05469992952925,1,16
797,1.35644017246753,1,16
798,1.30581520613788,1,16
799,1.2152355258118,1,16
800,0.339561060601,1,16
801,0.203797197297828,1,17
802,0.603143545519447,1,17
803,1.45428689801354,1,17
804,0.88640884867489,1,17
805,1.56235956588002,1,17
806,0.754555590080398,1,17
807,1.46502695091176,1,17
808,1.68269026620577,1,17
809,0.822518922254381,1,17
810,1.01964983670381,1,17
811,0.549492732391335,1,17
812,0.819197691786421,1,17
813,1.21898508695502,1,17
814,1.07421567485839,1,17
815,1.09711710161796,1,17
816,1.56579000669404,1,17
817,0.69651516792363,1,17
818,0.599951628893533,1,17
819,0.593144462307152,1,17
820,1.27695159607714,1,17
821,0.974730653261541,1,17
822,0.911862745650351,1,17
823,0.979678585069871,1,17
824,0.719668980189255,1,17
825,1.68293198149308,1,17
826,1.95609370623414,1,17
827,1.45052610981853,1,17
828,1.37712442984031,1,17
829,0.746766512281436,1,17
830,0.872701187601281,1,17
831,0.928881592617186,1,17
832,0.938312064553404,1,17
833,1.02871511616857,1,17
834,0.00161585312338811,1,17
835,1.69293880589592,1,17
836,1.85055080915174,1,17
837,1.31502701028414,1,17
838,1.27856887293221,1,17
839,-0.00522412206529982,1,17
840,1.32826537238757,1,17
841,0.974917625719318,1,17
842,0.925788718798105,1,17
843,1.10122519047938,1,17
844,1.08550141558044,1,17
845,1.81513013202751,1,17
846,1.79608950330786,1,17
847,0.953702316386591,1,17
848,1.46808695435979,1,17
849,1.53556323913265,1,17
850,0.696560407769958,1,17
851,1.66120060135411,1,18
852,0.980523460233578,1,18
853,1.64952653959223,1,18
854,1.45587299727176,1,18
855,1.54311405299524,1,18
856,1.04322957256389,1,18
857,1.20084977672428,1,18
858,1.45599452748551,1,18
859,0.773336206887664,1,18
860,1.30253095561403,1,18
861,1.24985714409769,1,18
862,1.75965422869352,1,18
863,0.743035365217617,1,18
864,1.79406321127205,1,18
865,1.34498034782963,1,18
866,1.18173341594343,1,18
867,1.75697177177638,1,18
868,1.05048077565326,1,18
869,1.44877605525997,1,18
870,1.54623465585149,1,18
871,1.19999991354026,1,18
872,0.481555209869919,1,18
873,1.70106563562008,1,18
874,1.24599147603156,1,18
875,0.850063897354408,1,18
876,0.717763015661921,1,18
877,0.684934015549824,1,18
878,1.00069479179433,1,18
879,1.14941637221171,1,18
880,-0.542736341953276,1,18
881,1.24074071137905,1,18
882,0.368377400234213,1,18
883,0.352355692692994,1,18
884,1.06064654485707,1,18
885,0.510758340408821,1,18
886,1.5074929894033,1,18
887,1.03688055589691,1,18
888,1.04518886244568,1,18
889,0.670525824005176,1,18
890,0.774565772116036,1,18
891,0.465761070583004,1,18
892,0.8997134261619,1,18
893,1.17972652571629,1,18
894,1.0770899810605,1,18
895,0.985690154692775,1,18
896,0.437906119050808,1,18
897,1.49530089469806,1,18
898,0.971585867170029,1,18
899,0.687663014858644,1,18
900,1.31985428131817,1,18
901,1.80774771890152,1,19
902,1.51214365936183,1,19
903,1.76465415651168,1,19
904,1.64109903292627,1,19
905,1.08848523797526,1,19
906,1.61180875646216,1,19
907,1.10513954384363,1,19
